pair_id	global_pair_index	conversation_index	conversation_pair_index	conversation_title	conversation_id	source_shard	filename	conversation_created_utc	conversation_updated_utc	prompt_message_ids	response_message_ids	assistant_models	prompt_char_count	response_char_count	attachment_count	omitted_total	content_sha256	duplicate_group
dt-01-001	1	1	1	Theatrical-Musical Composition System	69c6e4d6-23b4-8328-a4dc-d555365791eb	conversations-019.json	dt-01-001--predict-system-from-photos.md	2026-03-27T20:13:41.997401Z	2026-03-27T22:08:52.246083Z	410a0d46-ec68-4b6d-8b75-04e9b08eb3b0	f886c322-d5ea-4fc5-b526-69c19233dc36	gpt-5-4-thinking	60	4742	7	5	f843309bb4d4e803d1788915efe6df5ecd0a16f25086a933b7aed2e9102ff6ef	
dt-01-002	2	1	2	Theatrical-Musical Composition System	69c6e4d6-23b4-8328-a4dc-d555365791eb	conversations-019.json	dt-01-002--formalize-system-concept.md	2026-03-27T20:13:41.997401Z	2026-03-27T22:08:52.246083Z	6fb4a833-de36-49cf-8899-c628c5629e3f	9143bc96-535b-4640-ae46-c0ecd17597dd	gpt-5-4-thinking	112	13250	0	17	09205f639be92dba4db59ff4f32733e26cfbb134c0dd5428fdeab398ea399185	
dt-02-001	3	2	1	Speech-based Performance System	69c6e938-f0b8-832b-9f51-361505af6b25	conversations-019.json	dt-02-001--predict-system-from-photos.md	2026-03-27T20:32:11.495136Z	2026-03-27T22:07:25.373010Z	20dad69e-306f-41b6-880a-c1f6893fc653	cf02362d-56c5-41ad-92b2-250a6d021a9b	gpt-5-4-thinking	60	7537	7	9	ae13221793460ec07010690e47536205498e4802d67b2ffde626c6d3c9b88682	dt-02-001|dt-03-001
dt-03-001	4	3	1	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-001--predict-system-from-photos.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	20dad69e-306f-41b6-880a-c1f6893fc653	cf02362d-56c5-41ad-92b2-250a6d021a9b	gpt-5-4-thinking	60	7537	7	5	ae13221793460ec07010690e47536205498e4802d67b2ffde626c6d3c9b88682	dt-02-001|dt-03-001
dt-03-002	5	3	2	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-002--dramaturgical-product-frame.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	1ca0b795-0f3d-47ca-97ba-0da8640594cb	f8635c4d-530e-499d-a320-7b812e8b700d	gpt-5-4-thinking	189	7438	0	4	a5cff217fa0d0f690a3aca5628088d0f3fea4d2d3f165e44d79ecf4dce176cf0	
dt-03-003	6	3	3	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-003--user-types-mvp-boundary.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	f2f48600-50d3-4a12-bdc5-b8e881e54b93	0d562b01-8b09-4894-82ea-2ff76849ba46	gpt-5-4-thinking	80	14976	0	6	3d8defdb1a624bcd2ecfb26ce551bbeaf5cd7aaddf3b9ad459c9ca2ca5298dff	
dt-03-004	7	3	4	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-004--formal-mvp-spec.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	bb6f3bbc-0574-4da4-9866-6f69014ccfb2	7e3a2b61-d222-4869-b0d1-892297aa511e	gpt-5-4-thinking	103	21564	0	4	58751a5d6980f7add07ad1edcf7da14a43d74bbc3b12ee0977542ce1a763e6b5	
dt-03-005	8	3	5	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-005--product-design-systems-package.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	34c63c16-c3b0-4af7-b04f-dd17e5dae796	4efd139b-7a83-45a1-9cd3-337acaad9437	gpt-5-4-thinking	294	36249	0	3	05d7016d79f9c027ed22c1554295f8087a8b49c78c67cf3b72f0391b6dab8729	
dt-03-006	9	3	6	Branch · Speech-based Performance System	69c6ec6f-164c-8329-ac9c-6734aeda8e5b	conversations-019.json	dt-03-006--repository-blueprint-handoff.md	2026-03-27T20:45:55.928824Z	2026-03-27T21:48:16.155862Z	1aa85e2f-3048-4543-bf0f-3a0838464a11	ec7109e3-53df-402b-b6b8-b6b1d7832335	gpt-5-4-thinking	178	28386	0	8	2adc66e05b8c4bf0380559e54b319fb748d3a4af6f6f82e3a7d6962f6c1725d4	
dt-04-001	10	4	1	Gap Analysis and Merging	69c700a2-2b2c-832f-bb09-8a6d069b352b	conversations-019.json	dt-04-001--gap-analysis-and-merge.md	2026-03-27T22:12:08.563109Z	2026-03-28T03:55:56.332085Z	16b51266-6d7d-45a1-a237-289f0c89b9c9	129e6469-1103-447e-90db-5584d1600fcd|3d0ee246-09ef-424d-ba25-5321b5f39ccd|4008d56f-77b7-41b1-8cfb-819b6484597c	gpt-5-4-thinking	4861	6665	0	4	b597ccb48cf9e13b38b9a62513f1369e32371206f16b12887420f2ea55fe5e0f	
